,county_name,coc_flag_pba2035,coc_flag_pba2040,coc_flag_acs2016,coc_flag_pba2050,gain_loss_acs2016_pba2050,gain_loss_pba2040_pba2050,tracts_count
0,Alameda County,121.0,120,115,101,-14,-19,361
1,Contra Costa County,45.0,45,45,50,5,5,208
2,Marin County,3.0,3,3,4,1,1,56
3,Napa County,4.0,4,3,5,2,1,40
4,San Francisco County,49.0,48,53,51,-2,3,197
5,San Mateo County,22.0,22,25,22,-3,0,158
6,Santa Clara County,84.0,84,77,63,-14,-21,372
7,Solano County,28.0,28,28,28,0,0,96
8,Sonoma County,11.0,11,14,15,1,4,100
