,Summary_Statistics
total_pop,2167073.0
hispanic_latino_pop,556989.0
non_hl_white,531062.0
non_hl_black,173088.0
non_hl_indian_alaska_native,4839.0
non_hl_asian,772485.0
non_hl_hawaiian_pacific_islander,15202.0
non_hl_other_race,12691.0
non_hl_multi_racial,100717.0
pct_hispanic_latino_pop,0.25702364433500857
pct_non_hl_white,0.24505958036485156
pct_non_hl_black,0.07987179019811515
pct_non_hl_indian_alaska_native,0.0022329658484047375
pct_non_hl_asian,0.35646468762242894
pct_non_hl_hawaiian_pacific_islander,0.007014992111479401
pct_non_hl_other_race,0.005856286336454748
pct_non_hl_multi_racial,0.046476053183256864
